#mpeers,AimdCC-
9.000000000000000000e+00,4.476544148894800300e+04
1.900000000000000000e+01,6.147315822792000100e+04
4.900000000000000000e+01,8.480068851631900200e+04
9.900000000000000000e+01,1.029037206788300000e+05
