#Bucket,AimdCC-
1.000000000000000000e+02,3.180000000000000000e+02
1.010000000000000000e+02,3.180000000000000000e+02
1.020000000000000000e+02,3.180000000000000000e+02
1.030000000000000000e+02,3.180000000000000000e+02
1.040000000000000000e+02,3.180000000000000000e+02
1.050000000000000000e+02,3.180000000000000000e+02
1.060000000000000000e+02,3.180000000000000000e+02
1.070000000000000000e+02,3.180000000000000000e+02
1.080000000000000000e+02,3.180000000000000000e+02
1.090000000000000000e+02,3.180000000000000000e+02
1.100000000000000000e+02,3.180000000000000000e+02
1.110000000000000000e+02,3.180000000000000000e+02
1.120000000000000000e+02,3.180000000000000000e+02
1.130000000000000000e+02,3.180000000000000000e+02
1.140000000000000000e+02,3.180000000000000000e+02
1.150000000000000000e+02,3.180000000000000000e+02
1.160000000000000000e+02,3.180000000000000000e+02
1.170000000000000000e+02,3.180000000000000000e+02
1.180000000000000000e+02,3.180000000000000000e+02
1.190000000000000000e+02,3.180000000000000000e+02
1.200000000000000000e+02,3.180000000000000000e+02
1.210000000000000000e+02,3.180000000000000000e+02
1.220000000000000000e+02,3.180000000000000000e+02
1.230000000000000000e+02,3.180000000000000000e+02
1.240000000000000000e+02,3.180000000000000000e+02
1.250000000000000000e+02,3.180000000000000000e+02
1.260000000000000000e+02,3.180000000000000000e+02
1.270000000000000000e+02,3.180000000000000000e+02
1.280000000000000000e+02,3.180000000000000000e+02
1.290000000000000000e+02,3.180000000000000000e+02
1.300000000000000000e+02,3.180000000000000000e+02
1.310000000000000000e+02,3.180000000000000000e+02
1.320000000000000000e+02,3.180000000000000000e+02
1.330000000000000000e+02,3.180000000000000000e+02
1.340000000000000000e+02,3.180000000000000000e+02
1.350000000000000000e+02,3.180000000000000000e+02
1.360000000000000000e+02,3.180000000000000000e+02
1.370000000000000000e+02,3.180000000000000000e+02
1.380000000000000000e+02,3.180000000000000000e+02
1.390000000000000000e+02,3.180000000000000000e+02
1.400000000000000000e+02,3.180000000000000000e+02
1.410000000000000000e+02,3.180000000000000000e+02
1.420000000000000000e+02,3.180000000000000000e+02
1.430000000000000000e+02,3.180000000000000000e+02
1.440000000000000000e+02,3.180000000000000000e+02
1.450000000000000000e+02,3.180000000000000000e+02
1.460000000000000000e+02,3.180000000000000000e+02
1.470000000000000000e+02,3.180000000000000000e+02
1.480000000000000000e+02,3.180000000000000000e+02
1.490000000000000000e+02,3.180000000000000000e+02
1.500000000000000000e+02,3.180000000000000000e+02
1.510000000000000000e+02,3.180000000000000000e+02
1.520000000000000000e+02,3.180000000000000000e+02
1.530000000000000000e+02,3.180000000000000000e+02
1.540000000000000000e+02,3.180000000000000000e+02
1.550000000000000000e+02,3.180000000000000000e+02
1.560000000000000000e+02,3.180000000000000000e+02
1.570000000000000000e+02,3.180000000000000000e+02
1.580000000000000000e+02,3.180000000000000000e+02
1.590000000000000000e+02,3.180000000000000000e+02
1.600000000000000000e+02,3.180000000000000000e+02
1.610000000000000000e+02,3.180000000000000000e+02
1.620000000000000000e+02,3.180000000000000000e+02
1.630000000000000000e+02,3.180000000000000000e+02
1.640000000000000000e+02,3.180000000000000000e+02
1.650000000000000000e+02,3.180000000000000000e+02
1.660000000000000000e+02,3.180000000000000000e+02
1.670000000000000000e+02,3.180000000000000000e+02
1.680000000000000000e+02,3.180000000000000000e+02
1.690000000000000000e+02,3.180000000000000000e+02
1.700000000000000000e+02,3.180000000000000000e+02
1.710000000000000000e+02,3.180000000000000000e+02
1.720000000000000000e+02,3.180000000000000000e+02
1.730000000000000000e+02,3.180000000000000000e+02
1.740000000000000000e+02,3.180000000000000000e+02
1.750000000000000000e+02,3.180000000000000000e+02
1.760000000000000000e+02,3.180000000000000000e+02
1.770000000000000000e+02,3.180000000000000000e+02
1.780000000000000000e+02,3.180000000000000000e+02
1.790000000000000000e+02,3.180000000000000000e+02
1.800000000000000000e+02,3.180000000000000000e+02
