#reinfup,QLearnCC-alpha=0.1, lamda=1.0, epsilon=0.1
1.000000000000000000e-03,5.621133589700699800e-01
3.000000000000000100e-03,5.882834698311899800e+00
6.000000000000000100e-03,2.456268806419300100e+01
1.000000000000000000e-02,4.489566962046500000e+01
1.299999999999999900e-02,1.271434782608700000e+02
1.600000000000000000e-02,1.246936967062400000e+02
2.000000000000000000e-02,1.718635907723200100e+02
2.300000000000000000e-02,2.945738417795599800e+02
2.599999999999999900e-02,4.603105870546900200e+02
2.999999999999999900e-02,3.941126901855900000e+02
