#mpeers,QLearnCC-
1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,7.225960331408500400e+00
5.000000000000000000e+01,3.029673500379699900e+02
1.000000000000000000e+02,1.982027934392599900e+03
