#mpeers,AimdCC-
9.000000000000000000e+00,1.374618578360299900e-01
1.900000000000000000e+01,3.760696592103299800e-01
4.900000000000000000e+01,6.455165154628799600e+00
9.900000000000000000e+01,1.623319264395500000e+01
