#mpeers,QLearnCC-
1.000000000000000000e+01,1.073922818783400000e+05
2.000000000000000000e+01,1.177505253408500000e+05
5.000000000000000000e+01,1.198796666304100100e+05
1.000000000000000000e+02,1.136194195416100000e+05
