#mpeers,PerfectCC-
9.000000000000000000e+00,1.168320071986400000e+05
1.900000000000000000e+01,1.197312870625400000e+05
4.900000000000000000e+01,1.217698112477700100e+05
9.900000000000000000e+01,1.246402321584799900e+05
