#Bucket,QLearnCC-
1.800000000000000000e+01,1.100300000000000000e+01
1.900000000000000000e+01,1.149799999999999900e+01
2.000000000000000000e+01,1.269999999999999900e+01
2.100000000000000000e+01,1.325799999999999900e+01
2.200000000000000000e+01,1.146700000000000100e+01
2.300000000000000000e+01,1.452399999999999900e+01
2.400000000000000000e+01,1.368200000000000000e+01
2.500000000000000000e+01,1.210500000000000000e+01
2.600000000000000000e+01,1.257799999999999900e+01
2.700000000000000000e+01,1.170500000000000000e+01
2.800000000000000000e+01,8.025000000000000400e+00
2.900000000000000000e+01,9.743999999999999800e+00
3.000000000000000000e+01,1.237800000000000000e+01
3.100000000000000000e+01,1.178100000000000100e+01
3.200000000000000000e+01,1.463899999999999900e+01
3.300000000000000000e+01,1.397800000000000000e+01
3.400000000000000000e+01,1.135900000000000000e+01
3.500000000000000000e+01,1.317000000000000000e+01
3.600000000000000000e+01,1.287500000000000000e+01
3.700000000000000000e+01,1.195600000000000000e+01
3.800000000000000000e+01,1.261400000000000100e+01
3.900000000000000000e+01,1.511400000000000100e+01
4.000000000000000000e+01,1.392000000000000000e+01
4.100000000000000000e+01,7.867000000000000000e+00
4.200000000000000000e+01,8.417999999999999300e+00
4.300000000000000000e+01,1.099000000000000000e+01
4.400000000000000000e+01,1.221800000000000000e+01
4.500000000000000000e+01,1.125799999999999900e+01
4.600000000000000000e+01,8.066000000000000700e+00
4.700000000000000000e+01,8.349999999999999600e+00
4.800000000000000000e+01,8.900999999999999800e+00
4.900000000000000000e+01,9.897000000000000200e+00
5.000000000000000000e+01,7.977000000000000300e+00
5.100000000000000000e+01,8.289999999999999100e+00
5.200000000000000000e+01,9.298000000000000000e+00
5.300000000000000000e+01,7.860000000000000300e+00
5.400000000000000000e+01,9.189000000000000100e+00
5.500000000000000000e+01,8.265000000000000600e+00
5.600000000000000000e+01,5.801999999999999600e+00
5.700000000000000000e+01,9.650000000000000400e+00
5.800000000000000000e+01,1.005500000000000000e+01
5.900000000000000000e+01,1.065799999999999900e+01
6.000000000000000000e+01,1.310500000000000000e+01
6.100000000000000000e+01,1.293399999999999900e+01
6.200000000000000000e+01,9.176000000000000200e+00
6.300000000000000000e+01,7.902000000000000100e+00
6.400000000000000000e+01,7.980999999999999900e+00
6.500000000000000000e+01,9.249000000000000600e+00
6.600000000000000000e+01,9.660999999999999600e+00
6.700000000000000000e+01,8.528000000000000500e+00
6.800000000000000000e+01,1.388700000000000000e+01
6.900000000000000000e+01,8.266000000000000000e+00
7.000000000000000000e+01,8.704000000000000600e+00
7.100000000000000000e+01,1.122899999999999900e+01
7.200000000000000000e+01,8.071999999999999200e+00
7.300000000000000000e+01,7.323000000000000400e+00
7.400000000000000000e+01,7.524000000000000000e+00
7.500000000000000000e+01,8.182999999999999800e+00
7.600000000000000000e+01,8.266999999999999500e+00
7.700000000000000000e+01,8.718999999999999400e+00
7.800000000000000000e+01,8.782999999999999500e+00
7.900000000000000000e+01,8.977000000000000300e+00
8.000000000000000000e+01,6.089000000000000400e+00
8.100000000000000000e+01,6.884000000000000300e+00
8.200000000000000000e+01,8.256000000000000200e+00
8.300000000000000000e+01,9.173999999999999500e+00
8.400000000000000000e+01,8.176000000000000200e+00
8.500000000000000000e+01,5.942000000000000200e+00
8.600000000000000000e+01,9.188000000000000600e+00
8.700000000000000000e+01,7.668999999999999600e+00
8.800000000000000000e+01,7.439000000000000100e+00
8.900000000000000000e+01,8.827000000000000000e+00
9.000000000000000000e+01,9.403000000000000500e+00
9.100000000000000000e+01,8.425000000000000700e+00
9.200000000000000000e+01,8.496999999999999900e+00
9.300000000000000000e+01,7.559000000000000200e+00
9.400000000000000000e+01,9.192999999999999600e+00
9.500000000000000000e+01,7.197000000000000100e+00
9.600000000000000000e+01,5.724000000000000200e+00
9.700000000000000000e+01,1.073499999999999900e+01
9.800000000000000000e+01,9.711999999999999700e+00
