#nhops,AimdCC-
2.000000000000000000e+00,1.137905048982700000e-01
3.000000000000000000e+00,3.213658046698499700e-02
4.000000000000000000e+00,2.009040683073800100e-02
5.000000000000000000e+00,1.155488570710900100e-02
