#rttgamma,AimdCC-increase=1.0, decrease=2, rttalpha=0.15
3.000000000000000000e+00,3.696731500107680100e-03
3.100000000000000100e+00,4.994488971685100500e-03
3.200000000000000200e+00,3.761307307242360700e-03
3.299999999999999800e+00,8.376019883470151000e-02
3.399999999999999900e+00,9.699046120113460200e-03
3.500000000000000000e+00,3.666711586572855800e-02
3.600000000000000100e+00,9.037657072931695700e-02
3.700000000000000200e+00,3.203510175561340300e-03
3.799999999999999800e+00,7.258682878425649900e-02
3.899999999999999900e+00,3.261738845810179000e-02
4.000000000000000000e+00,6.728433508428120600e-03
4.099999999999999600e+00,1.530904382827376100e-01
4.200000000000000200e+00,4.009784430566242000e-02
4.299999999999999800e+00,3.534479104201714000e-02
4.400000000000000400e+00,1.137977191784559400e-01
4.500000000000000000e+00,1.364579464641410000e-02
4.599999999999999600e+00,9.826807611257296100e-02
4.700000000000000200e+00,1.418655766842453200e-01
4.799999999999999800e+00,1.313867555010820600e-01
4.900000000000000400e+00,1.835958227608819900e-01
5.000000000000000000e+00,1.357291531478658800e-01
