#delay,QLearnCC-ms
5.000000000000000000e+01,1.168073348404900000e+01
2.000000000000000000e+02,8.609088626663300700e+00
5.000000000000000000e+02,2.501632345555000100e+01
1.000000000000000000e+03,2.510725948254199800e+01
