#rateIncoming,BasicCC-
1.000000000000000000e+05,1.003896646701000000e+02
2.000000000000000000e+05,8.115213131289899600e+02
3.000000000000000000e+05,2.365084202386699900e+03
4.000000000000000000e+05,5.601985245315399900e+03
