#rateIncoming,AimdCC-
1.000000000000000000e+05,2.184002965415400100e+04
2.000000000000000000e+05,4.099275048998500300e+04
3.000000000000000000e+05,5.664777957574200300e+04
4.000000000000000000e+05,6.413931807895500200e+04
