#rateIncoming,PerfectCC-
1.000000000000000000e+05,2.990696645503100100e+04
2.000000000000000000e+05,5.903503357814699800e+04
3.000000000000000000e+05,8.878512899753599800e+04
4.000000000000000000e+05,1.214403773463200100e+05
