#rateIncoming,QLearnCC-
1.000000000000000000e+05,2.717244276883999900e+04
2.000000000000000000e+05,5.852356442647300000e+04
3.000000000000000000e+05,8.461014571673200400e+04
4.000000000000000000e+05,1.159457613265200100e+05
