#rateIncoming,BasicCC-
1.000000000000000000e+05,1.502316458333300000e+04
2.000000000000000000e+05,1.368734095634100000e+04
3.000000000000000000e+05,1.232298958333299900e+04
4.000000000000000000e+05,1.094249275362300100e+04
