#rateIncoming,QLearnCC-
1.000000000000000000e+05,1.816352675207199900e+01
2.000000000000000000e+05,1.495655449522900000e+01
3.000000000000000000e+05,1.488375596284200100e+01
4.000000000000000000e+05,1.205048982667700000e+01
