#rateIncoming,PerfectCC-
1.000000000000000000e+05,1.069375000000000000e+01
2.000000000000000000e+05,2.358212058212100000e+01
3.000000000000000000e+05,2.789999999999999900e+01
4.000000000000000000e+05,3.916149068322999900e+01
