#reinfup,QLearnCC-alpha=0.1, lamda=1.0, epsilon=0.1
1.000000000000000000e-03,1.043306780166700000e+05
5.000000000000000100e-03,1.149689100791700000e+05
1.000000000000000000e-02,1.212238598386800000e+05
2.000000000000000000e-02,1.186624644857600100e+05
4.000000000000000100e-02,1.039859506851300000e+05
5.999999999999999800e-02,9.336116104602700200e+04
8.000000000000000200e-02,8.800014944709300500e+04
1.000000000000000100e-01,9.044521337453900200e+04
1.200000000000000000e-01,8.966931988999199500e+04
1.400000000000000100e-01,8.541850259482600100e+04
1.600000000000000000e-01,8.964142395887899300e+04
1.799999999999999900e-01,9.078918920963999700e+04
2.000000000000000100e-01,8.828723819326399800e+04
2.200000000000000000e-01,8.991900653082299700e+04
6.999999999999999600e-01,8.942408787350199400e+04
7.500000000000000000e-01,9.084007951393499400e+04
8.000000000000000400e-01,8.843232286537700600e+04
8.499999999999999800e-01,8.979216240628299400e+04
9.000000000000000200e-01,8.995526383646999600e+04
9.499999999999999600e-01,8.735102122333100100e+04
