#decrease,AimdCC-increase=0.5,AimdCC-increase=0.75,AimdCC-increase=1.0,AimdCC-increase=1.5
1.100000000000000100e+00,2.374184918909899900e-02,1.691741892343700000e-01,3.581340912890800300e-01,1.788699431628200100e-01
1.250000000000000000e+00,0.000000000000000000e+00,5.870546914199700100e-02,0.000000000000000000e+00,1.170372847349899900e-03
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.020237497909300000e-02,0.000000000000000000e+00
1.750000000000000000e+00,0.000000000000000000e+00,2.374184918909899900e-02,0.000000000000000000e+00,2.005682767842199900e-03
2.000000000000000000e+00,0.000000000000000000e+00,5.017561465127899800e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,3.511118542049800100e-03,6.354515050167200100e-03,0.000000000000000000e+00,0.000000000000000000e+00
