#nhops,BasicCC-
2.000000000000000000e+00,3.441637654766500100e+04
3.000000000000000000e+00,5.432573654990200300e+03
4.000000000000000000e+00,1.017875912377100000e+03
5.000000000000000000e+00,1.731029314869099900e+02
