#nhops,PerfectCC-
2.000000000000000000e+00,1.815966090321300100e+05
3.000000000000000000e+00,1.195762374327900000e+05
4.000000000000000000e+00,8.612660620007199800e+04
5.000000000000000000e+00,7.166181928069700400e+04
