#nhops,QLearnCC-
2.000000000000000000e+00,1.838562518035900100e+05
3.000000000000000000e+00,1.177505253408500000e+05
4.000000000000000000e+00,8.824497890970800700e+04
5.000000000000000000e+00,6.906674326466000600e+04
