#nhops,AimdCC-
2.000000000000000000e+00,1.088381604218800100e+05
3.000000000000000000e+00,6.302275636500500000e+04
4.000000000000000000e+00,4.777295552298099900e+04
5.000000000000000000e+00,3.443213462867699900e+04
