#mpeers,BasicCC-
1.000000000000000000e+01,5.686358033662500000e+03
2.000000000000000000e+01,5.449484961687900100e+03
5.000000000000000000e+01,7.070918186246800400e+03
1.000000000000000000e+02,6.046241383829399600e+03
