#reinfup,QLearnCC-alpha=0.1, lamda=1.0, epsilon=0.1
1.000000000000000000e-03,1.043306780166700000e+05
3.000000000000000100e-03,1.118554491927100000e+05
6.000000000000000100e-03,1.150131667880000000e+05
1.000000000000000000e-02,1.163564575103700000e+05
1.299999999999999900e-02,1.211586849275800100e+05
1.600000000000000000e-02,1.219370447866900100e+05
2.000000000000000000e-02,1.215527223286499900e+05
2.300000000000000000e-02,1.174708268537200100e+05
2.599999999999999900e-02,1.162786271799300000e+05
2.999999999999999900e-02,1.139296971552900100e+05
