#decrease,AimdCC-increase=0.5,AimdCC-increase=0.75,AimdCC-increase=1.0,AimdCC-increase=1.5
1.050000000000000000e+00,1.897675973917400100e-01,2.531438127090300100e+00,3.076408627319799900e-01,1.576826617622500100e+00
1.100000000000000100e+00,2.374184918909899900e-02,8.123015209761000300e-02,3.737880307589400200e-01,5.699715766594200000e-01
1.149999999999999900e+00,8.189871302022399800e-03,1.494733322186900000e-01,4.918032786885200000e-02,1.385360962566800100e-01
1.200000000000000000e+00,1.270478100969599900e-02,0.000000000000000000e+00,3.343363423604100000e-03,3.472733355637300200e-01
1.250000000000000000e+00,1.722120046814900100e-02,2.625857166750299900e-02,1.558528428093599900e-01,9.585145533623300200e-02
1.300000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.046997825723400000e-01,0.000000000000000000e+00
1.350000000000000100e+00,5.517471994649699800e-03,0.000000000000000000e+00,2.174276634888800100e-03,1.212577354072599900e-01
1.399999999999999900e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.457372116348999900e-02,2.293547308592399900e-01
1.450000000000000000e+00,3.512293025589600000e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.073231901019900000e-02
1.550000000000000000e+00,6.019060357799700100e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.177257525083600000e-03
1.600000000000000100e+00,1.003512293025599900e-03,0.000000000000000000e+00,1.103494398929900100e-02,0.000000000000000000e+00
