#lamda,QLearnCC-alpha=0.2,QLearnCC-alpha=0.25,QLearnCC-alpha=0.3
8.000000000000000400e-01,9.541321276061300000e+00,1.232814070351800100e+01,3.100955013822600000e+01
8.499999999999999800e-01,8.444639718804900500e+00,1.210123084652100000e+01,1.514142175332800000e+01
9.000000000000000200e-01,5.164490205926700400e+00,9.239829231541900600e+00,1.121110831867300000e+01
9.499999999999999600e-01,8.625219794021600000e+00,1.721135963809999900e+01,1.745628140703500000e+01
