#lamda,QLearnCC-alpha=0.2,QLearnCC-alpha=0.25,QLearnCC-alpha=0.3
8.000000000000000400e-01,1.190924488401100000e+05,1.146729801136900100e+05,1.173363679874900000e+05
8.499999999999999800e-01,1.141166080987700000e+05,1.187945583134700000e+05,1.176239144216000000e+05
9.000000000000000200e-01,1.175564153829800100e+05,1.216402292892800000e+05,1.201088138055500000e+05
9.499999999999999600e-01,1.156413062245000000e+05,1.181721790638700000e+05,1.188679171355199900e+05
