#delay,QLearnCC-ms
5.000000000000000000e+01,1.166807519157600000e+05
2.000000000000000000e+02,1.146278494546199900e+05
5.000000000000000000e+02,1.131869853170800100e+05
1.000000000000000000e+03,1.142378413721400000e+05
