#delay,AimdCC-ms
5.000000000000000000e+01,2.354072083243499900e+04
2.000000000000000000e+02,1.019267880937100000e+04
5.000000000000000000e+02,8.658685608400599400e+03
1.000000000000000000e+03,8.651675760523699900e+03
