#delay,BasicCC-ms
5.000000000000000000e+01,5.512432287992800400e+03
2.000000000000000000e+02,6.289096591941400200e+03
5.000000000000000000e+02,6.731407706302799900e+03
1.000000000000000000e+03,6.221608201624800100e+03
