#delay,PerfectCC-ms
5.000000000000000000e+01,1.217927682333800000e+05
2.000000000000000000e+02,1.214629389909200000e+05
5.000000000000000000e+02,1.202754182174200000e+05
1.000000000000000000e+03,1.192605206794500000e+05
