#nhops,QLearnCC-
2.000000000000000000e+00,1.655739763878400000e+01
3.000000000000000000e+00,7.225960331408500400e+00
4.000000000000000000e+00,9.849070818684099400e+00
5.000000000000000000e+00,6.918613413715100100e+00
