#decrease,AimdCC-increase=0.5,AimdCC-increase=0.75,AimdCC-increase=1.0,AimdCC-increase=1.5
1.100000000000000100e+00,6.835212126683999700e+04,8.727918200337499700e+04,8.962285773084100200e+04,9.392306811810299400e+04
1.250000000000000000e+00,4.771774521036200200e+04,6.565429361051900200e+04,5.593470122437700000e+04,6.422763447258299900e+04
1.500000000000000000e+00,4.817476916785800100e+04,5.714784475889599700e+04,6.046337265142799900e+04,2.826351053316200000e+04
1.750000000000000000e+00,4.421853867120000400e+04,6.288918627294200300e+04,1.212267117718000000e+04,5.841590664034699900e+04
2.000000000000000000e+00,3.250640501332499800e+04,5.633045304723100000e+04,3.003417601851300100e+04,4.332058678948900300e+04
2.500000000000000000e+00,5.755667034142399600e+04,6.066119436794900000e+04,1.325498343978000000e+04,4.221570864119000200e+04
